Project Path,Existing Packages,Generated Packages,Unique to Existing Packages,Unique to Generated Packages,Common packages
G:/ReqProject/gitprojects/project\001,1,3,1,3,0
G:/ReqProject/gitprojects/project\002,6,4,2,0,4
G:/ReqProject/gitprojects/project\003,2,5,0,3,2
G:/ReqProject/gitprojects/project\005,12,9,5,2,7
G:/ReqProject/gitprojects/project\006,2,2,1,1,1
G:/ReqProject/gitprojects/project\008,1,3,0,2,1
G:/ReqProject/gitprojects/project\009,3,3,2,2,1
G:/ReqProject/gitprojects/project\010,1,11,1,11,0
G:/ReqProject/gitprojects/project\011,8,3,7,2,1
G:/ReqProject/gitprojects/project\012,3,1,3,1,0
G:/ReqProject/gitprojects/project\014,8,3,7,2,1
G:/ReqProject/gitprojects/project\016,7,4,5,2,2
G:/ReqProject/gitprojects/project\017,4,2,2,0,2
G:/ReqProject/gitprojects/project\020,7,2,6,1,1
G:/ReqProject/gitprojects/project\021,1,2,0,1,1
G:/ReqProject/gitprojects/project\023,2,3,1,2,1
G:/ReqProject/gitprojects/project\024,5,4,1,0,4
G:/ReqProject/gitprojects/project\025,6,5,1,0,5
G:/ReqProject/gitprojects/project\026,14,2,12,0,2
G:/ReqProject/gitprojects/project\027,7,4,4,1,3
G:/ReqProject/gitprojects/project\029,1,1,0,0,1
G:/ReqProject/gitprojects/project\031,0,1,0,1,0
G:/ReqProject/gitprojects/project\032,4,7,1,4,3
G:/ReqProject/gitprojects/project\033,1,7,0,6,1
G:/ReqProject/gitprojects/project\036,22,9,14,1,8
G:/ReqProject/gitprojects/project\038,6,8,3,5,3
G:/ReqProject/gitprojects/project\039,3,1,3,1,0
G:/ReqProject/gitprojects/project\040,4,1,3,0,1
G:/ReqProject/gitprojects/project\041,9,4,7,2,2
G:/ReqProject/gitprojects/project\042,3,3,0,0,3
G:/ReqProject/gitprojects/project\043,4,6,1,3,3
G:/ReqProject/gitprojects/project\044,4,3,1,0,3
G:/ReqProject/gitprojects/project\046,5,3,2,0,3
G:/ReqProject/gitprojects/project\049,10,1,9,0,1
G:/ReqProject/gitprojects/project\052,17,1,16,0,1
G:/ReqProject/gitprojects/project\054,7,6,5,4,2
G:/ReqProject/gitprojects/project\056,2,3,0,1,2
G:/ReqProject/gitprojects/project\057,13,2,11,0,2
G:/ReqProject/gitprojects/project\058,3,2,2,1,1
G:/ReqProject/gitprojects/project\060,2,5,0,3,2
G:/ReqProject/gitprojects/project\063,3,5,0,2,3
G:/ReqProject/gitprojects/project\064,5,2,3,0,2
G:/ReqProject/gitprojects/project\067,15,5,10,0,5
G:/ReqProject/gitprojects/project\068,8,2,6,0,2
G:/ReqProject/gitprojects/project\069,2,9,0,7,2
G:/ReqProject/gitprojects/project\070,1,1,0,0,1
G:/ReqProject/gitprojects/project\071,2,1,1,0,1
G:/ReqProject/gitprojects/project\073,5,3,4,2,1
G:/ReqProject/gitprojects/project\076,1,2,0,1,1
G:/ReqProject/gitprojects/project\077,2,2,1,1,1
G:/ReqProject/gitprojects/project\078,3,1,2,0,1
G:/ReqProject/gitprojects/project\079,3,4,2,3,1
G:/ReqProject/gitprojects/project\081,3,2,1,0,2
G:/ReqProject/gitprojects/project\082,4,3,2,1,2
G:/ReqProject/gitprojects/project\083,27,5,23,1,4
G:/ReqProject/gitprojects/project\086,69,20,52,3,17
G:/ReqProject/gitprojects/project\087,2,1,2,1,0
G:/ReqProject/gitprojects/project\089,6,3,3,0,3
G:/ReqProject/gitprojects/project\091,6,3,3,0,3
G:/ReqProject/gitprojects/project\093,9,5,8,4,1
G:/ReqProject/gitprojects/project\094,3,4,0,1,3
G:/ReqProject/gitprojects/project\098,1,1,0,0,1
G:/ReqProject/gitprojects/project\100,30,6,27,3,3
G:/ReqProject/gitprojects/project\101,1,1,1,1,0
G:/ReqProject/gitprojects/project\102,3,2,2,1,1
G:/ReqProject/gitprojects/project\104,10,1,10,1,0
G:/ReqProject/gitprojects/project\106,8,1,8,1,0
G:/ReqProject/gitprojects/project\110,2,1,1,0,1
G:/ReqProject/gitprojects/project\112,3,6,1,4,2
G:/ReqProject/gitprojects/project\116,18,5,13,0,5
G:/ReqProject/gitprojects/project\117,14,17,5,8,9
G:/ReqProject/gitprojects/project\118,14,17,5,8,9
G:/ReqProject/gitprojects/project\119,12,7,7,2,5
G:/ReqProject/gitprojects/project\120,8,3,6,1,2
G:/ReqProject/gitprojects/project\121,4,12,0,8,4
G:/ReqProject/gitprojects/project\124,8,2,6,0,2
G:/ReqProject/gitprojects/project\126,0,4,0,4,0
G:/ReqProject/gitprojects/project\128,10,2,8,0,2
G:/ReqProject/gitprojects/project\129,10,3,7,0,3
G:/ReqProject/gitprojects/project\130,1,4,0,3,1
G:/ReqProject/gitprojects/project\131,12,3,9,0,3
G:/ReqProject/gitprojects/project\133,31,25,15,9,16
G:/ReqProject/gitprojects/project\134,5,2,3,0,2
G:/ReqProject/gitprojects/project\135,3,6,0,3,3
G:/ReqProject/gitprojects/project\136,16,5,11,0,5
G:/ReqProject/gitprojects/project\137,5,2,3,0,2
G:/ReqProject/gitprojects/project\138,1,1,0,0,1
G:/ReqProject/gitprojects/project\139,1,1,0,0,1
G:/ReqProject/gitprojects/project\142,6,1,5,0,1
G:/ReqProject/gitprojects/project\146,18,1,17,0,1
G:/ReqProject/gitprojects/project\149,3,3,1,1,2
G:/ReqProject/gitprojects/project\150,1,2,0,1,1
G:/ReqProject/gitprojects/project\151,7,3,4,0,3
G:/ReqProject/gitprojects/project\152,8,4,5,1,3
G:/ReqProject/gitprojects/project\153,14,8,8,2,6
G:/ReqProject/gitprojects/project\154,14,8,8,2,6
G:/ReqProject/gitprojects/project\155,4,3,3,2,1
G:/ReqProject/gitprojects/project\157,16,3,13,0,3
G:/ReqProject/gitprojects/project\158,6,3,3,0,3
G:/ReqProject/gitprojects/project\159,1,1,1,1,0
G:/ReqProject/gitprojects/project\160,9,3,6,0,3
G:/ReqProject/gitprojects/project\161,15,5,11,1,4
G:/ReqProject/gitprojects/project\164,64,10,60,6,4
G:/ReqProject/gitprojects/project\165,64,10,60,6,4
G:/ReqProject/gitprojects/project\166,2,1,1,0,1
G:/ReqProject/gitprojects/project\168,1,21,1,21,0
G:/ReqProject/gitprojects/project\169,2,1,1,0,1
G:/ReqProject/gitprojects/project\170,5,5,3,3,2
G:/ReqProject/gitprojects/project\172,8,2,6,0,2
G:/ReqProject/gitprojects/project\173,3,1,3,1,0
G:/ReqProject/gitprojects/project\174,29,4,26,1,3
G:/ReqProject/gitprojects/project\175,3,6,0,3,3
G:/ReqProject/gitprojects/project\177,2,5,1,4,1
G:/ReqProject/gitprojects/project\179,2,3,1,2,1
G:/ReqProject/gitprojects/project\181,0,3,0,3,0
G:/ReqProject/gitprojects/project\183,6,11,1,6,5
G:/ReqProject/gitprojects/project\184,6,3,3,0,3
G:/ReqProject/gitprojects/project\185,17,5,15,3,2
G:/ReqProject/gitprojects/project\186,6,8,3,5,3
G:/ReqProject/gitprojects/project\187,15,3,12,0,3
G:/ReqProject/gitprojects/project\191,2,4,0,2,2
G:/ReqProject/gitprojects/project\193,4,5,0,1,4
G:/ReqProject/gitprojects/project\194,1,4,1,4,0
G:/ReqProject/gitprojects/project\195,38,7,31,0,7
G:/ReqProject/gitprojects/project\197,8,6,3,1,5
